Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
gemma-low-storage-unit-walnut-grey-white,Gemma Low Storage Unit - Available in 2 Colours,Colour,Antigua,,,,,107160-000052,,,-50
i3-plus-desk-bridge-bark-grey,i3 Plus Desk Bridge - Available in 2 Colours,Colour,White Chocolate,,,,,160820-000031,,,-50
i3-plus-desk-hutch-with-frosted-glass-doors-white,i3 Plus Desk Hutch with Frosted Glass Doors - Available in 4 Colours,Colour,White Chocolate,,,,,160521-000031,,,-50
i3-plus-desk-keyboard-tray-bark-grey,i3 Plus Desk Keyboard Tray - Available in 2 Colours,Colour,White Chocolate,,,,,160830-000031,,,-50
i3-plus-desk-shell,i3 Plus Desk Shell - Available in 2 Colours,Colour,White Chocolate,,,,,160400-000031,,,-50
evolution-full-murphy-wall-bed-and-one-storage-unit-deep-grey,Evolution Full Murphy Wall Bed and One Storage Unit  - Deep Grey,Colour,Deep Grey,,,,,42890-32,,,0
evolution-queen-murphy-wall-bed-and-two-storage-units-deep-grey,Evolution Queen Murphy Wall Bed and Two Storage Units  - Deep Grey,Colour,Deep Grey,,,,,42881-32,,,0
evolution-queen-murphy-wall-bed-and-one-storage-unit-deep-grey,Evolution Queen Murphy Wall Bed and One Storage Unit - Deep Grey,Colour,Deep Grey,,,,,42880-32,,,0
viva-l-shaped-standing-desk,Viva L-Shaped Standing Desk - Available in 2 Colours,Colour,Walnut Grey & White,,,,,19420-35,,,92
viva-l-shaped-standing-desk,Viva L-Shaped Standing Desk - Available in 2 Colours,Colour,Black & White,,,,,19420-18,,,36
universel-led-desk-lamp-with-wireless-charger-white,Universel LED Desk Lamp with Wireless Charger - White,Colour,White,,,,,AC-1093,,,191
universel-under-desk-wireless-charger-black,Universel Under-Desk Wireless Charger - Black,Colour,Black,,,,,AC-1092,,,222
outdoor-cedar-white-cedar-2-chairs-and-coffee-table-conversation-set-natural-cedar,Outdoor Cedar White Cedar 2 Chairs and Coffee Table Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-858,,,0
outdoor-cedar-white-cedar-swing-and-coffee-table-set-natural-cedar,Outdoor Cedar White Cedar Swing and Coffee Table Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-857,,,0
outdoor-cedar-white-cedar-premium-3-piece-conversation-set-natural-cedar,Outdoor Cedar White Cedar Premium 3-Piece Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-856,,,0
outdoor-cedar-white-cedar-elite-4-piece-conversation-set-natural-cedar,Outdoor Cedar White Cedar Elite 4-Piece Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-855,,,0
outdoor-cedar-white-cedar-4-chairs-and-coffee-table-conversation-set-natural-cedar,Outdoor Cedar White Cedar 4 Chairs and Coffee Table Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-854,,,0
outdoor-cedar-white-cedar-2-settees-and-coffee-table-set-natural-cedar,Outdoor Cedar White Cedar 2 Settees and Coffee Table Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-853,,,0
outdoor-cedar-white-cedar-settee-rocker-and-coffee-table-set-natural-cedar,Outdoor Cedar White Cedar Settee Rocker and Coffee Table Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-852,,,0
outdoor-cedar-white-cedar-deluxe-4-piece-conversation-set-natural-cedar,Outdoor Cedar White Cedar Deluxe 4-Piece Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-851,,,0
outdoor-cedar-white-cedar-classic-4-piece-conversation-set-natural-cedar,Outdoor Cedar White Cedar Classic 4-Piece Conversation Set - Natural Cedar,Colour,Natural Cedar,,,,,MR-850,,,0
outdoor-cedar-white-cedar-5-swing-natural-cedar,Outdoor Cedar White Cedar 5‘ Swing  - Natural Cedar,Colour,Natural Cedar,,,,,MR-127L,,,0
outdoor-cedar-white-cedar-riverside-picnic-table-natural-cedar,Outdoor Cedar White Cedar Riverside Picnic Table - Natural Cedar,Colour,Natural Cedar,,,,,MR-121E,,,0
outdoor-cedar-white-cedar-round-coffee-table-natural-cedar,Outdoor Cedar White Cedar Round Coffee Table - Natural Cedar,Colour,Natural Cedar,,,,,MR-109L,,,0
outdoor-cedar-white-cedar-elite-settee-natural-cedar,Outdoor Cedar White Cedar Elite Settee - Natural Cedar,Colour,Natural Cedar,,,,,MR-107L,,,0
outdoor-cedar-white-cedar-4-settee-natural-cedar,Outdoor Cedar White Cedar 4‘ Settee - Natural Cedar,Colour,Natural Cedar,,,,,MR-106L,,,0
outdoor-cedar-white-cedar-4-settee-rocker-natural-cedar,Outdoor Cedar White Cedar 4‘ Settee Rocker - Natural Cedar,Colour,Natural Cedar,,,,,MR-106AL,,,0
outdoor-cedar-white-cedar-arm-chair-natural-cedar,Outdoor Cedar White Cedar Arm Chair - Natural Cedar,Colour,Natural Cedar,,,,,MR-104L,,,12
universel-sofa-for-queen-murphy-bed-no-backrest,Universel Sofa for Queen Murphy Bed (No Backrest) - Available in 2 Colours,Colour,Grey,,,,,AC-1070-25,,,-50
universel-sofa-for-queen-murphy-bed-no-backrest,Universel Sofa for Queen Murphy Bed (No Backrest) - Available in 2 Colours,Colour,Tan,,,,,AC-1070-24,,,-50
universel-sofa-for-full-murphy-bed-no-backrest,Universel Sofa for Full Murphy Bed (No Backrest) - Available in 2 Colours,Colour,Grey,,,,,AC-1069-25,,,-50
universel-sofa-for-full-murphy-bed-no-backrest,Universel Sofa for Full Murphy Bed (No Backrest) - Available in 2 Colours,Colour,Tan,,,,,AC-1069-24,,,-50
embassy-traditional-executive-desk-with-two-pedestals-dark-chocolate,Embassy Traditional Executive Desk with 2 Pedestals - Dark Chocolate,Colour,Dark Chocolate,,,,,60850-79,,,0
embassy-u-shaped-executive-desk-with-pedestal-and-hutch-dark-chocolate,Embassy U-Shaped Executive Desk with Pedestal and Hutch - Dark Chocolate,Colour,Dark Chocolate,,,,,60857-79,,,0
versatile-25-storage-unit,Versatile 25“ Storage Unit - Available in 3 Colours,Colour,Deep Grey,,,,,40169-3132,,,5
versatile-25-storage-unit,Versatile 25“ Storage Unit - Available in 3 Colours,Colour,White,,,,,40169-3117,,,63
versatile-25-storage-unit,Versatile 25“ Storage Unit - Available in 3 Colours,Colour,Walnut Grey,,,,,40169-000035,,,-50
solay-3-piece-set-including-an-l-shaped-desk-a-lateral-file-cabinet-and-a-bookcase,"Solay 3-Piece Set Including an L-Shaped Desk, a Lateral File Cabinet, and a Bookcase - Available in 3 Colours",Colour,Chocolate,,,,,29851-69,,,0
pur-full-murphy-wall-bed-and-2-storage-units-with-drawers-120,Pur Full Murphy Wall Bed and 2 Storage Units with Drawers (120”) - Available in 2 Colours,Colour,Bark Grey,,,,,26899-47,,,0
pur-full-murphy-wall-bed-and-storage-unit-with-drawers-95w-white,Pur Full Murphy Wall Bed and Storage Unit with Drawers (95W) - White,Colour,White,,,,,26891-17,,,0
pur-33w-corner-closet-organizer-white,Pur 33W Corner Closet Organizer - White,Colour,White,,,,,26165-17,,,0
nebula-full-murphy-wall-bed-with-mattress-and-storage-unit-84w,Nebula Full Murphy Wall Bed with Mattress and Storage Unit (84W) - Available in 4 Colours,Colour,Antigua,,,,,25891-52,,,-50
nebula-full-murphy-wall-bed-with-mattress-and-storage-unit-84w,Nebula Full Murphy Wall Bed with Mattress and Storage Unit (84W) - Available in 4 Colours,Colour,Bark Grey & White,,,,,25891-4717,,,-50
nebula-full-murphy-wall-bed-with-mattress-and-storage-unit-84w,Nebula Full Murphy Wall Bed with Mattress and Storage Unit (84W) - Available in 4 Colours,Colour,Bark Grey,,,,,25891-47,,,-50
nebula-full-murphy-wall-bed-with-mattress-and-storage-unit-84w,Nebula Full Murphy Wall Bed with Mattress and Storage Unit (84W) - Available in 4 Colours,Colour,White,,,,,25891-17,,,-50
nebula-25-wardrobe,Nebula 25“ Wardrobe - Available in 4 Colours,Colour,Antigua,,,,,25871-52,,,0
nebula-25-wardrobe,Nebula 25“ Wardrobe - Available in 4 Colours,Colour,Bark Grey & White,,,,,25871-4717,,,0
nebula-25-wardrobe,Nebula 25“ Wardrobe - Available in 4 Colours,Colour,Bark Grey,,,,,25871-47,,,0
