Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Wholesale Furniture Brokers
walker-edison-metal-x-rustic-wood-side-table,Metal X Rustic Wood Side Table - Available in 4 Colours,Colour,White Oak,,,,,AF18MXSTWO,,,0
walker-edison-metal-x-rustic-wood-side-table,Metal X Rustic Wood Side Table - Available in 4 Colours,Colour,Reclaimed Barnwood,,,,,AF18MXSTRO,,,0
walker-edison-metal-x-rustic-wood-side-table,Metal X Rustic Wood Side Table - Available in 4 Colours,Colour,Grey Wash,,,,,AF18MXSTGW,,,42
walker-edison-48-inch-park-city-modern-farmhouse-metal-and-wood-storage-bench,"48"" Park City Modern Farmhouse Metal and Wood Storage Bench - Available in 4 Colours",Colour,White Oak,,,,,B48PCSBWO,,,28
walker-edison-48-inch-park-city-modern-farmhouse-metal-and-wood-storage-bench,"48"" Park City Modern Farmhouse Metal and Wood Storage Bench - Available in 4 Colours",Colour,Barnwood,,,,,B48PCSBBW,,,0
walker-edison-48-inch-park-city-modern-farmhouse-metal-and-wood-storage-bench,"48"" Park City Modern Farmhouse Metal and Wood Storage Bench - Available in 4 Colours",Colour,Grey Wash,,,,,B48PCSBGW,,,31
walker-edison-48-inch-park-city-modern-farmhouse-metal-and-wood-storage-bench,"48"" Park City Modern Farmhouse Metal and Wood Storage Bench - Available in 4 Colours",Colour,Dark Walnut,,,,,B48PCSBDW,,,12
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Rustic Oak,,,,,W58FP18HBRO,,,0
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Traditional Brown,,,,,W58FP18HBTB,,,0
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,White Oak,,,,,W58FP18HBWO,,,0
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Black,,,,,W58FP18HBBL,,,0
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Driftwood,,,,,W58FP18HBAG,,,21
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Espresso,,,,,W58FP18HBES,,,0
walker-edison-58-inch-wasatch-highboy-transitional-fireplace-glass-wood-tv-stand,"58"" Wasatch Highboy Transitional Fireplace Glass Wood TV Stand - Available in 7 Colours",Colour,Barnwood,,,,,W58FP18HBBW,,,12
