SKU,DESCRIPTION,DIMENSIONS (W X D X H),WGT,PRICE CND,
BPE-K-QEN-XX,QUEEN BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 63.3 x 80.6 x 46.3,141.2,$413.00,
PH-BPE-QEN-XX,Blackpepper Queen Headboard - Dual series,(Box 1) 49.6 x 66.5 x 2.8,52.9,$209.00,
KF-BAS-QEN-XX,K-Series Basic Queen Footboard With Panel,(Box 1) 19.7 x 66.7 x 2.4,26.5,$73.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x 4.5,28.7,$77.00,
PS-QEN,Queen Standard Slats,(Box 4) 8.5 x 62.2 x 4.5,33.1,$54.00,
,,,,,
BPE-K-EKG-XX,EASTERN KING BLACKPEPPER COMPLETE BED (K-SERIES),(Bed) 79.4 x 80.6 x 46.3,164.3,$514.00,
PH-BPE-EKG-XX,Blackpepper Eastern King Headboard - Dual series,(Box 1) 49.6 x 78.5 x 2.8,52.9,$289.00,
KF-BAS-EKG-XX,K-Series Basic EKG Footboard With Panel,(Box 1) 19.1 x 81.7 x 2.4,33.1,$80.00,
KPQ-QEN/EKG-XX,Queen/EKG Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,28.7,$77.00,
PS-EKG,Eastern King Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,49.6,$68.00,
,,,,,
CHA-P-TWN-XX,TWIN CHAMELEON COMPLETE BED (P-SERIES),(Bed) 42.4 x 76 x 45.3,92.5,$285.00,
PH-CHA-TWN-XX,Twin Chameleon Headboard - Dual series,(Box 1) 45.7 x 48.4 x 4.7,34.2,$145.00,
PF-BAS-TWN-XX,Basic Twin Footboard,(Box 2) 15.9 x 84.3 x  2.4,15.4,$37.00,
KPQ-TWN-XX,Twin Dual Series Rails,(Box 3) 7.7 x 82.9 x  4.5,22,$65.00,
PS-TWN,Twin Standard Slats,(Box 4) 8.5 x 80.3 x  4.5,20.9,$38.00,
,,,,,
CHA-P-FUL-XX,FULL CHAMELEON COMPLETE BED (P-SERIES),(Bed) 57.3 x 76 x 45.3,120.2,$338.00,
PH-CHA-FUL-XX,Full Chameleon Headboard - Dual series,(Box 1) 48.4 x 60.6 x 4.7,48.5,$176.00,
PF-BAS-FUL-XX,Basic Full Footboard,(Box 2) 15.9 x 60.6 x 2.4,17.6,$44.00,
KPQ-FUL-XX,Full Dual Series Rails,(Box 3) 7.7 x 78 x 4.5,26.5,$70.00,
PS-FUL,Full Standard Slats,(Box 4) 8.5 x56.3 x  4.5,27.6,$48.00,
,,,,,
CHA-P-QEN-XX,QUEEN CHAMELEON COMPLETE BED (P-SERIES),(Bed) 63.3 x 80.6 x 45.3,136.7,$371.00,
PH-CHA-QEN-XX,Queen Chameleon Headboard - Dual series,(Box 1) 48.4 x 66.5 x 4.7,55.1,$194.00,
PF-BAS-QEN-XX,Basic Queen Footboard,(Box 2) 15.9 x 65.9 x  2.4,19.8,$46.00,
